Transaction_ID,Transaction_Date,Transaction_Amount,Category,Customer_Age,Account_Balance,Fraud_Flag
bdd640fb-0667-4ad1-9c80-317fa3b1799d,2023-11-05 15:54:38,3198.94,Transport,55,350.28,No
23b8c1e9-3924-46de-beb1-3b9046685257,2024-04-21 22:21:55,129.93,Grocery,26,9797.81,Yes
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2023-07-17 13:25:56,1378.77,Shopping,29,12399.85,Yes
972a8469-1641-4f82-8b9d-2434e465e150,2023-06-27 16:09:52,1119.94,Healthcare,60,16057.64,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,2024-03-26 23:45:31,3683.67,Entertainment,29,14940.54,Yes
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2023-08-06 20:56:56,3385.11,Healthcare,21,7768.29,No
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,2023-04-20 22:46:13,4461.44,Savings,41,5437.07,No
6b65a6a4-8b81-48f6-b38a-088ca65ed389,2024-04-15 2:24:06,439.26,Transport,42,9680.49,No
47378190-96da-4dac-b2ff-5d2a386ecbe0,2024-07-13 5:44:00,2112.5,Entertainment,26,16876.33,Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,2023-12-25 7:40:39,153.84,Clothing,59,9807.13,No
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,2023-05-29 23:23:20,1097.1,Housing,19,5842.77,Yes
371ecd7b-27cd-4130-8722-9389571aa876,2023-04-19 11:02:33,2529.25,Savings,24,3665.73,No
1a2a73ed-562b-4f79-8374-59eef50bea63,2025-01-02 18:46:56,137.55,Electronics,60,10106.47,Yes
5be6128e-18c2-4797-a142-ea7d17be3111,2024-05-07 9:13:03,998.19,Clothing,65,18439.63,Yes
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2024-02-21 23:01:32,3251.17,Education,57,17492.08,Yes
759cde66-bacf-43d0-8b1f-9163ce9ff57f,2023-10-16 19:58:34,2726.98,Utilities,66,17397.16,No
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,2024-08-15 11:24:02,1106.1,Savings,20,15229.59,Yes
4b0dbb41-8d52-48f1-942c-3fe860e7a113,2024-07-07 8:16:15,2948.38,Clothing,22,15113.42,No
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,2024-08-17 0:21:16,4048.11,Fitness,25,9848.73,No
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,2024-09-19 23:38:00,37.46,Savings,66,17992.35,No
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2024-05-21 15:22:17,4030.07,Savings,31,6835.16,No
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,2023-04-24 1:11:11,3492.21,Healthcare,34,1897.16,No
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,2023-10-12 0:47:22,1704.55,Clothing,52,7165.63,Yes
7412b293-4729-4739-a14f-f3d719db3ad0,2023-11-06 21:11:36,781.62,Grocery,37,1139.36,No
29a3b2e9-5d65-4441-9588-42dea2bc372f,2024-05-24 11:09:59,4786.28,Fitness,31,18154.67,No
ab9099a4-35a2-40ae-9af3-05535ec42e08,2024-12-29 10:19:33,1686.29,Savings,32,7886.1,Yes
aefcfad8-efc8-4849-b3aa-7efe4458a885,2024-08-10 22:10:04,468.27,Electronics,54,18717.18,Yes
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,2024-07-15 5:40:40,488.1,Travel,24,1497.7,Yes
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2023-06-17 2:09:55,4238.23,Shopping,30,7235.62,No
451b4cf3-6123-4df7-b656-af7229d4beef,2024-03-27 5:54:24,3020.61,Entertainment,32,9415.11,Yes
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,2024-02-24 0:41:27,4036.61,Food,59,13882.12,Yes
5304317f-af42-412f-b838-b3268e944239,2023-09-01 22:45:52,3650.01,Clothing,29,7359.63,Yes
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2024-09-06 1:02:27,2683.46,Shopping,41,8376.01,Yes
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,2023-12-22 11:55:43,4865.71,Shopping,29,8386.36,No
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,2024-04-09 23:26:18,1895.78,Transport,51,17206.12,Yes
